"SAV area data (hectares). See http://www.vims.edu/bio/sav for more information. Key nd=region not mapped, pd=region partially mapped. 2012 SAV Totals are Preliminary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBPSEG,state,Segment_Name,Sort,1971_ha,1971_nd,1974_ha,1974_nd,1978_ha,1978_nd,1979_ha,1979_nd,1980_ha,1980_nd,1981_ha,1981_nd,1984_ha,1984_nd,1985_ha,1985_nd,1986_ha,1986_nd,1987_ha,1987_nd,1989_ha,1989_nd,1990_ha,1990_nd,1991_ha,1991_nd,1992_ha,1992_nd,1993_ha,1993_nd,1994_ha,1994_nd,1995_ha,1995_nd,1996_ha,1996_nd,1997_ha,1997_nd,1998_ha,1998_nd,1999_ha,1999_nd,2000_ha,2000_nd,2001_ha,2001_nd,2002_ha,2002_nd,2003_ha,2003_nd,2004_ha,2004_nd,2005_ha,2005_nd,2006_ha,2006_nd,2007_ha,2007_nd,2008_ha,2008_nd,2009_ha,2009_nd,2010_ha,2010_nd,2011_ha,2011_nd,2012_ha,2012_nd
POTTF,VA,Upper Potomac River,48,0,nd,0,nd,0,,0,nd,0,nd,0,nd,100.81,,345.61,,334.66,,333.8,,521.13,,684.11,,847.28,,465.71,,419.68,,271.46,,183.04,,340.47,,273.58,,382.17,,388.7,,420.78,,206.44,pd,511.85,,308.08,,481.29,,973.07,,894.58,,1347.71,,1304.82,,1356.79,,1528.9,,268.5,pd,720.81,
MATTF,MD,Mattawoman Creek,49,0,pd,0,pd,0,,0,pd,0,pd,0,pd,0,,0,,6.83,,2.87,,39.29,,40.59,,60.64,,57.97,,54.28,,27.17,,11.34,,44.08,,50.28,,65.93,,84.96,,133.84,,0,pd,320.76,,247.62,,243.04,,311.5,,329.41,,337.25,,354.91,,350.35,,307.52,,285.05,,217.63,
PISTF,MD,Piscataway Creek,50,0,nd,0,nd,0,,0,nd,0,nd,0,nd,139.57,,211.73,,308.27,,319.35,,11.11,,57.7,,108.87,,8.32,,14.97,,30.8,,33.01,,50.89,,123.25,,126.62,,50.81,,129.22,,0,nd,255.61,,85.7,,205.03,,306.45,,296.32,,306.32,,309.41,,110.9,,211.63,,0,nd,102.08,
ANATF,DC,Anacostia River,50.5,0,nd,0,nd,0,,0,nd,0,nd,0,nd,4.66,,3.6,,2.21,,3.81,,4.2,,3.97,,5.01,,4.89,,5.29,,5.74,,6.27,,5.52,,3.42,,2.37,,3.54,,4.27,,1.73,,2.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,
ANATF,MD,Anacostia River,50.5,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,
CB6PH,VA,Western Lower Chesapeake Bay,51,179.69,,221.41,,292.6,,0,nd,178.93,,227.47,,305.45,,327.51,,321.94,,241.92,,351.4,,373.02,,396.19,,466.93,,511.93,,454.45,,431.29,,396.2,,361.84,,312.58,,267.59,,287.94,,289.41,,310.49,,286.29,,197.6,,259.97,,125.86,,160.31,,180.59,,220.81,,214.73,,131.35,,80.69,
CB7PH,VA,Eastern Lower Chesapeake Bay,52,0,pd,0,pd,2452.12,,0,nd,1816,,2320.37,,2822.46,,2899.46,,2989.1,,2941.55,,3241.13,,3324.36,,4007.25,,4150.59,,4469.52,,4014.43,,3560.05,,3831.47,,3937.2,,3616.52,,3335.41,,3402.98,,3711.64,,3966.28,,3719.61,,2896.12,,3293.78,,1513.37,,2078.2,,2520.53,,3000.27,,3033.02,,1795.61,,1957.52,
RPPMH,VA,Lower Rappahannock River,53,684.62,,3.45,,29.78,,0,nd,0.43,,0,,13.46,,9.01,,7.75,,99.12,,348.69,,114.81,,55.76,,76.27,,132.95,,33.1,,23.51,,25.64,,14.7,,8.79,,33.12,,72.87,,193.58,,407.46,,8.55,,13.2,,80.12,,151.02,,170.8,,246.59,,591.46,,595.3,,315.59,,165.08,
CRRMH,VA,Corrotoman River,54,51.14,,0,,1.61,,0,nd,0,,0,,0,,0,,0,,59.88,,173.85,,178.46,,145.52,,137.74,,90.23,,51.61,,7.28,,22.09,,15.29,,17.03,,72.16,,107.46,,157.31,,311.04,,17.59,,90.82,,118.15,,137.71,,146.09,,188.14,,198.46,,231.16,,74.07,,40.57,
RPPOH,VA,Middle Rappahannock River,55,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.71,,0,,0,,3.17,,3.47,,2.2,,9.06,,2.55,
RPPTF,VA,Upper Rappahannock River,56,0,pd,0,pd,0,pd,0,nd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,7.29,,7.42,,16.19,,26.78,,1.39,,0,,9.57,,32.73,,3.12,,29.68,,44.13,,71.27,,179.75,,121.44,,35.17,
PIAMH,VA,Piankatank River,57,580.17,,61.12,,50.32,,0,nd,1.99,,4.06,,10.23,,10.35,,10.25,,43.1,,142.35,,242.44,,270.36,,323.42,,435.08,,249.81,,143.96,,142.26,,175.01,,132.11,,116.81,,171.31,,218.15,,283.95,,180.86,,179.29,,227.22,,113.61,,112.56,,140.41,,139.28,,197.54,,78.88,,41.38,
MOBPH,VA,Mobjack Bay,58,3003.74,,2712.63,,2754.74,,0,nd,2361.59,,2445.52,,2736.2,,2847.35,,2820.68,,2913.01,,3667.03,,3983.45,,4286.53,,4360.82,,4430.45,,4374.95,,4388.91,,4302.83,,4442.49,,4082.34,,3584.49,,3693.51,,3849.57,,3538.29,,3422.5,,3054.85,,2915.76,,2183.4,,2502.54,,3228.18,,3521.48,,3287.38,,2333.24,,2132.72,
YRKPH,VA,Lower York River,59,406.86,,89.98,,106.68,,0,nd,103.58,,112.86,,178.62,,175.56,,172.79,,190.36,,232.93,,271.91,,267.44,,274.08,,281.5,,295.97,,302.33,,306.87,,339.5,,302.79,,264.55,,308.39,,324.21,,373.04,,359.06,,241.72,,177.2,,148.49,,148.76,,186.81,,228.31,,253.1,,139.74,,138.93,
YRKMH,VA,Middle York River,60,21.97,,0.86,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MPNOH,VA,Lower Mattaponi River,61,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
MPNTF,VA,Upper Mattaponi River,62,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,34.38,,0,pd,0,,0,,9.14,,74.34,,72.45,,119.81,,133.61,,160.63,,171.66,,171.9,,199.51,,202.95,,204.44,
PMKOH,VA,Lower Pamunkey River,63,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
PMKTF,VA,Upper Pamunkey River,64,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,75.89,,0,nd,70.43,,56.52,,69.19,,88,,135.02,,236.88,,298.41,,328.45,,373,,361.15,,379.37,,363.77,,351.12,
JMSPH,VA,Mouth of the James River,65,0,pd,7.73,pd,8.99,,0,nd,0,,0,,0,,0,,0,,2.97,,3.85,,2.73,,2.74,,3.5,,4.01,,6.1,,15.4,,18.81,,75.74,,52.49,,31.35,,38.13,,93.98,,113.51,,53.22,,29.75,,0,pd,57.99,,80.67,,84.32,,136.06,,193.13,,94.92,,105.14,
JMSMH,VA,Lower James River,66,0,nd,0,nd,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.05,,0.89,,1.15,,0.97,,0.96,,0.6,,0.66,,0.89,,0,nd,0,,0,,0,,0,,0,,0,,0,
ELIPH,VA,Lower Elizabeth River,67,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
WBEMH,VA,Western Branch of the Elizabeth River,69,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
SBEMH,VA,South Branch of the Elizabeth River,70,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
EBEMH,VA,Eastern Branch of the Elizabeth River,71,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
LAFMH,VA,Lafayette River,72,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CHKOH,VA,Chickahominy River,73,0,pd,0,pd,89.17,pd,0,nd,0,pd,0,pd,0,pd,0,pd,13.91,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,205.32,,36.82,pd,216.54,,108.4,,75.43,,172.03,,174.77,,281.98,,285.53,,426.96,,318.41,,388.87,,309.28,,437.23,,363.53,
JMSOH,VA,Middle James River,74,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,6.21,,0,nd,3.97,,5.89,,4.71,,3.66,,0,,0,,4.54,,4.27,,13.6,,17.31,,7.63,,12.94,,27.2,
JMSTF1,VA,Upper James River Segment 1,75.1,0,pd,0,pd,0,pd,0,nd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,0,pd,36,,0,pd,26.84,,38.39,,33.82,,30.48,,4.76,,21.63,,90.47,,123.28,,142.46,,135.14,,160.61,,217.11,,253.93,
JMSTF2,VA,Upper James River Segment 2,75.2,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.87,
APPTF,VA,Appomattox River,76,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CB8PH,VA,Mouth of the Chesapeake Bay,77,0,nd,0,nd,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,4.4,,4.37,,4.16,,2.77,,2.98,,3.2,,4.22,,1.94,,2.34,,3.54,,1.28,,2.34,,2.62,,3.35,,3.28,,1.99,,2.71,
LYNPH,VA,Lynnhaven & Broad Bays,78,0,nd,0,nd,0,,0,nd,0,,0,,38.48,,37.49,,43.2,,40.22,,37.63,,29.03,,23.66,,19.55,,21.22,,42.65,,12.99,,30.26,,16.14,,16.86,,38.17,,19.48,,17.32,,15.51,,0,,3.51,,7.85,,0,,0.74,,0.43,,0,,6.08,,4.86,,0,
AAWPH,DE,Assawoman Bay,79,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,
AAWPH,MD,Assawoman Bay,79,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,,0,,0,,0,,1.23,,1.75,,16.69,,122.49,,113.76,,178.16,,180.32,,174.63,,264.71,,207.6,,222.43,,166.96,,203.93,,227.67,,0,nd,199.38,,206.59,,229.72,,353.43,,378.34,,15.94,,62.04,
IOWPH,DE,Isle of Wight Bay,80,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
IOWPH,MD,Isle of Wight Bay,80,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,6.19,,3.67,,15.74,,20.79,,46.34,,79.87,,80.71,,99.46,,106.29,,124.1,,92.8,,135.51,,126.03,,0,nd,145.44,,138.13,,184.54,,180.18,,209.56,,13.2,,57.25,
SPXPH,MD,Sinepuxent Bay,81,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,29.01,,79.36,,134.69,,178.58,,179.04,,197.86,,230.89,,276.36,,222.93,,343.73,,421.4,,478.25,,643.36,,685.55,,669.58,,743.28,,695.85,,801.94,,0,nd,721.47,,648,,656.35,,744.91,,753.76,,505.18,,511.81,
CHNPH,MD,Chincoteague Bay,82,0,pd,0,pd,0,pd,0,nd,0,pd,0,pd,0,pd,0,pd,1310.64,,1443.26,,1158.51,,1391.19,,1629.28,,1805.23,,1848.06,,1911.31,,1740.09,,1966.6,,2209.83,,2499.53,,3163.01,,2924.14,,3609.04,,3247.49,,3437.8,,3332.98,,0,pd,1915.32,,1766.29,,1986.37,,2350.91,,2313.69,,1761.31,,1453.88,
CHNPH,VA,Chincoteague Bay,82,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,789.2,,782.81,,1019.29,,921.22,,936.12,,1312.13,,1477.32,,1791.69,,1660.79,,2021.26,,2706.94,,2921.74,,3029.88,,2930.59,,3185.43,,2987.23,,2782.07,,2398.76,,0,nd,1288.95,,1012.32,,1359.37,,1880.93,,1954.98,,1380.2,,1024.45,
SVCPH,VA,Southern Va. Coastal Bays,83,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15.87,,81.66,,158.49,,146,,0,nd,253.28,,591.05,,983.55,,1352.01,,1715.24,,1769.11,,1878.47,
